3000000	4260000
4400000	5360000
5460000	6400000
6440000	7060000
7100000	7520000
7580000	8780000
8800000	9200000
9220000	9920000
9960000	10280000
10340000	10600000
10600000	11060000
11080000	12080000
12100000	12500000
12580000	12880000
12940000	13920000
14000000	16060000
16060000	16860000
16960000	17120000
17180000	17460000
17480000	18920000
18940000	20420000
20420000	21640000
21640000	21820000
21860000	22400000
22400000	22960000
22980000	23620000
23640000	24340000
24360000	24980000
25000000	25720000
25740000	27500000
27500000	28840000
28860000	29120000
29160000	29660000
29900000	30280000
30300000	30640000
30720000	31860000
32020000	32560000
32580000	33440000
33460000	34200000
34300000	34860000
35000000	36160000
36180000	36860000
36880000	37440000
37620000	39000000
39040000	40320000
40360000	40660000
40680000	41880000
41980000	42240000
42260000	42840000
42860000	43560000
43880000	44040000
44220000	44560000
44640000	45060000
45120000	45820000
45860000	46100000
46140000	46580000
46660000	47240000
47340000	47920000
48020000	50240000
50260000	53060000
53080000	53460000
53460000	53680000
53720000	55300000
55400000	56400000
56420000	57120000
57220000	57740000
57760000	59128983
59340000	59128983
